file,target,identifier
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/bmtnaab.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=&issueURN=urn:PUL:bluemountain:bmtnaab,ark:/88435/pz50gz74k
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1920/02_01/bmtnaab_1920-02_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1920-02_01,ark:/88435/k643b381n
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1920/03_01/bmtnaab_1920-03_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1920-03_01,ark:/88435/ff365789z
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1920/04_01/bmtnaab_1920-04_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1920-04_01,ark:/88435/9p290c97w
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1920/07_01/bmtnaab_1920-07_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1920-07_01,ark:/88435/5x21tj06r
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1920/10_01/bmtnaab_1920-10_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1920-10_01,ark:/88435/2801pj975
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1920/12_01/bmtnaab_1920-12_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1920-12_01,ark:/88435/xg94hs18k
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1921/05_01/bmtnaab_1921-05_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1921-05_01,ark:/88435/sq87bx251
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1921/08_01/bmtnaab_1921-08_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1921-08_01,ark:/88435/nz806232q
/Users/cwulfman/repos/github/cwulfman/BlueMountain/metadata/periodicals/bmtnaab/issues/1921/10_01/bmtnaab_1921-10_01.mets.xml,http://bluemountain.princeton.edu/issue.html?titleURN=urn:PUL:bluemountain:bmtnaab&issueURN=urn:PUL:bluemountain:bmtnaab_1921-10_01,ark:/88435/j6731640w
