bmtnid,make,model,creator,date
bmtnaab,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2011:09:28 15:08:57Z
bmtnaac,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Firmware v5.23,2012:04:09 11:33:45Z
bmtnaad,Phase One,P65+,Capture One 6 Macintosh,2009:06:06 05:47:07
bmtnaae,Phase One,P65+,Adobe Photoshop CS5 Macintosh,2011:05:26 18:29:41-04:00
bmtnaaf,Phase One,P65+,Adobe Photoshop CS5 Macintosh,2009:06:14 05:06:07
bmtnaag,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2012:06:18 09:37:32Z
bmtnaai,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2011:09:28 15:08:57Z
bmtnaaj,Phase One,P65+,Capture One 6 Macintosh,2012:02:22 16:47:42
bmtnaal,Phase One,P65+,Capture One 6 Macintosh,2011:05:26 18:29:41-04:00
bmtnaam,Phase One,P65+,Capture One 6 Macintosh,2009:06:06 06:49:39
bmtnaan,Leaf,Leaf Aptus-II 12(LI301739)/Other,Firmware v5.30,2011:05:26 16:41:40Z
bmtnaao,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2012:12:03 10:42:11Z
bmtnaap,Leaf,Leaf Aptus-II 12(LI301737)/Schneider Lens Control,Capture One 6 Macintosh,2012:12:26 08:47:29Z
bmtnaaq,Leaf,Leaf Aptus-II 12(LI301737)/Schneider Lens Control,Capture One 6 Macintosh,2013:01:02 09:48:40Z
bmtnaar,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:01:18 15:38:31Z
bmtnaas,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2013:01:25 16:10:11Z
bmtnaat,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2013:01:25 12:01:26Z
bmtnaau,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2013:01:31 14:27:47Z
bmtnaav,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2013:01:10 10:56:58Z
bmtnaaw,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:02:01 10:11:02Z
bmtnaax,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:01:24 09:57:28Z
bmtnaay,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2012:11:12 13:15:12Z
bmtnaaz,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2013:02:01 12:15:58Z
bmtnaba,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:01:10 15:50:30Z
bmtnabb,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2013:01:10 11:57:22Z
bmtnabc,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2012:06:28 11:03:55Z
bmtnabd,Leaf,Leaf Aptus-II 12(LI301708)/Schneider Lens Control,Capture One 6 Macintosh,2012:10:09 14:53:06Z
bmtnabe,Zeutschel,Zeutschel Omniscan 11,ImageGear Version:  13.07.000,2010:11:09 10:19:34-05:00
bmtnabf,Zeutschel,Zeutschel Omniscan 11,ImageGear Version:  13.07.000,2010:05:04 14:20:14-04:00
bmtnabg,Leaf,Leaf Aptus-II 12(LI301737)/Schneider Lens Control,Capture One 6 Macintosh,2012:05:01 11:00:22Z
bmtnabh,Leaf,Leaf Aptus-II 12(LI301737)/Schneider Lens Control,Capture One 6 Macintosh,2012:08:06 14:43:02Z
bmtnabi,Phase One,P65+,Capture One 6 Macintosh,2011:05:26 18:29:41-04:00
bmtnabj,Leaf,Leaf Aptus-II 12(LI301737)/Schneider Lens Control,Capture One 6 Macintosh,2012:10:25 14:13:59Z
bmtnabk,Leaf,Leaf Aptus-II 12(LI301737)/Schneider Lens Control,Capture One 6 Macintosh,2012:06:21 08:39:04Z
bmtnabl,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:05:02 10:02:51Z
bmtnabm,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:03:26 15:12:33Z
bmtnabn,Leaf,Leaf Aptus-II 12(LI301739)/Other,Capture One 6 Macintosh,2013:03:26 11:37:42Z
